,species,lat,long
1,Acacia auriculiformis A.Cunn. ex Benth.,26.354115,-80.29698
2,Acacia auriculiformis A.Cunn. ex Benth.,26.309046,-80.247174
3,Acacia auriculiformis A.Cunn. ex Benth.,26.048298,-81.701772
4,Acacia auriculiformis A.Cunn. ex Benth.,26.048086,-81.701575
5,Acacia auriculiformis A.Cunn. ex Benth.,26.554711,-80.080201
6,Acacia auriculiformis A.Cunn. ex Benth.,26.886383,-80.099623
7,Acacia auriculiformis A.Cunn. ex Benth.,26.93777,-80.373345
8,Acacia auriculiformis A.Cunn. ex Benth.,27.130379,-80.167779
9,Acacia auriculiformis A.Cunn. ex Benth.,-7.897084,110.544697
10,Acacia auriculiformis A.Cunn. ex Benth.,27.288749,-80.292716
11,Acacia auriculiformis A.Cunn. ex Benth.,27.256866,-80.33429
12,Acacia auriculiformis A.Cunn. ex Benth.,-19.327272,146.759125
13,Acacia auriculiformis A.Cunn. ex Benth.,22.191662,113.30433
14,Acacia auriculiformis A.Cunn. ex Benth.,-12.907645,131.651398
15,Acacia auriculiformis A.Cunn. ex Benth.,27.412917,-82.656045
16,Acacia auriculiformis A.Cunn. ex Benth.,26.129622,-80.361362
17,Acacia auriculiformis A.Cunn. ex Benth.,27.410873,-82.45089
18,Acacia auriculiformis A.Cunn. ex Benth.,27.223223,-80.253577
19,Acacia auriculiformis A.Cunn. ex Benth.,26.98755,-80.141517
20,Acacia auriculiformis A.Cunn. ex Benth.,26.176972,-80.27217
21,Acacia auriculiformis A.Cunn. ex Benth.,27.433625,-80.409718
22,Acacia auriculiformis A.Cunn. ex Benth.,27.433426,-80.40994
23,Acacia auriculiformis A.Cunn. ex Benth.,17.34497,102.968533
24,Acacia auriculiformis A.Cunn. ex Benth.,26.457563,-82.09627
25,Acacia auriculiformis A.Cunn. ex Benth.,22.694066,120.308873
26,Acacia auriculiformis A.Cunn. ex Benth.,27.433135,-80.434968
27,Acacia auriculiformis A.Cunn. ex Benth.,27.433154,-80.434636
28,Acacia auriculiformis A.Cunn. ex Benth.,25.152424,121.49157
29,Acacia auriculiformis A.Cunn. ex Benth.,22.971868,120.222578
30,Acacia auriculiformis A.Cunn. ex Benth.,22.971881,120.222583
31,Acacia auriculiformis A.Cunn. ex Benth.,27.229275,-80.224208
32,Acacia auriculiformis A.Cunn. ex Benth.,26.677126,-81.602272
33,Acacia auriculiformis A.Cunn. ex Benth.,26.59947,-81.836238
34,Acacia auriculiformis A.Cunn. ex Benth.,26.616988,-80.069707
35,Acacia auriculiformis A.Cunn. ex Benth.,26.309638,-80.247118
36,Acacia auriculiformis A.Cunn. ex Benth.,17.715851,78.621613
37,Acacia auriculiformis A.Cunn. ex Benth.,14.699279,78.848653
38,Acacia auriculiformis A.Cunn. ex Benth.,25.017631,121.365123
39,Acacia auriculiformis A.Cunn. ex Benth.,27.1402,-80.199593
40,Acacia auriculiformis A.Cunn. ex Benth.,26.204708,-80.169831
41,Acacia auriculiformis A.Cunn. ex Benth.,26.204875,-80.16955
42,Acacia auriculiformis A.Cunn. ex Benth.,3.173017,101.500594
43,Acacia auriculiformis A.Cunn. ex Benth.,3.172928,101.500378
44,Acacia auriculiformis A.Cunn. ex Benth.,22.970604,120.222514
45,Acacia auriculiformis A.Cunn. ex Benth.,22.999416,120.138718
46,Acacia auriculiformis A.Cunn. ex Benth.,22.970842,120.222405
47,Acacia auriculiformis A.Cunn. ex Benth.,22.970688,120.22255
48,Acacia auriculiformis A.Cunn. ex Benth.,26.942708,-80.194947
49,Acacia auriculiformis A.Cunn. ex Benth.,3.173356,101.501836
50,Acacia auriculiformis A.Cunn. ex Benth.,3.173339,101.501936
51,Acacia auriculiformis A.Cunn. ex Benth.,8.517508,98.23325
52,Acacia auriculiformis A.Cunn. ex Benth.,26.669742,-80.162742
53,Acacia auriculiformis A.Cunn. ex Benth.,26.130275,-80.364201
54,Acacia auriculiformis A.Cunn. ex Benth.,22.397917,114.272545
55,Acacia auriculiformis A.Cunn. ex Benth.,1.752845,110.317855
56,Acacia auriculiformis A.Cunn. ex Benth.,-12.867005,132.811341
57,Acacia auriculiformis A.Cunn. ex Benth.,13.0179,77.567453
58,Acacia auriculiformis A.Cunn. ex Benth.,22.552297,88.347517
59,Acacia auriculiformis A.Cunn. ex Benth.,27.039314,-80.169687
60,Acacia auriculiformis A.Cunn. ex Benth.,26.222183,-81.609268
61,Acacia auriculiformis A.Cunn. ex Benth.,25.78626,-80.320655
62,Acacia auriculiformis A.Cunn. ex Benth.,22.970622,120.220406
63,Acacia auriculiformis A.Cunn. ex Benth.,2.880561,101.792428
64,Acacia auriculiformis A.Cunn. ex Benth.,2.932461,101.673944
65,Acacia auriculiformis A.Cunn. ex Benth.,2.934531,101.6742
66,Acacia auriculiformis A.Cunn. ex Benth.,2.882706,101.793608
67,Acacia auriculiformis A.Cunn. ex Benth.,2.914613,101.681747
68,Acacia auriculiformis A.Cunn. ex Benth.,-12.334639,136.403301
69,Acacia auriculiformis A.Cunn. ex Benth.,-12.698775,130.980557
70,Acacia auriculiformis A.Cunn. ex Benth.,27.256078,-80.334075
71,Acacia auriculiformis A.Cunn. ex Benth.,27.267312,-80.249345
