,species,lat,long
1,Funtumia africana (Benth.) Stapf,-1.616331,14.075685
3,Funtumia africana (Benth.) Stapf,-2.00089,12.94071
6,Funtumia africana (Benth.) Stapf,-1.68151,13.06357
9,Funtumia africana (Benth.) Stapf,-1.45398,13.205651
12,Funtumia africana (Benth.) Stapf,-1.776889,10.981333
17,Funtumia africana (Benth.) Stapf,-1.571395,10.807677
18,Funtumia africana (Benth.) Stapf,-2.007325,11.027783
21,Funtumia africana (Benth.) Stapf,-2.046884,11.103412
24,Funtumia africana (Benth.) Stapf,-1.669448,10.92997
26,Funtumia africana (Benth.) Stapf,-1.574394,10.891227
29,Funtumia africana (Benth.) Stapf,-0.557857,10.341484
32,Funtumia africana (Benth.) Stapf,-19.750716,33.322054
33,Funtumia africana (Benth.) Stapf,4.250309,11.129695
35,Funtumia africana (Benth.) Stapf,0.645497,10.963922
37,Funtumia africana (Benth.) Stapf,7.69009,-8.38945
39,Funtumia africana (Benth.) Stapf,7.70078,-8.4114
40,Funtumia africana (Benth.) Stapf,7.69647,-8.39832
43,Funtumia africana (Benth.) Stapf,4.168813,11.04982
45,Funtumia africana (Benth.) Stapf,0.538975,12.824928
47,Funtumia africana (Benth.) Stapf,0.5357,12.818973
49,Funtumia africana (Benth.) Stapf,0.417308,12.279365
51,Funtumia africana (Benth.) Stapf,0.440698,12.313185
53,Funtumia africana (Benth.) Stapf,0.42217,12.300215
55,Funtumia africana (Benth.) Stapf,0.438363,12.339177
57,Funtumia africana (Benth.) Stapf,0.406565,12.299778
59,Funtumia africana (Benth.) Stapf,0.426743,12.295987
61,Funtumia africana (Benth.) Stapf,6.270667,-10.283667
63,Funtumia africana (Benth.) Stapf,-1.05239,12.54485
65,Funtumia africana (Benth.) Stapf,-1.81986,12.9491
67,Funtumia africana (Benth.) Stapf,9.09473,-8.9499
69,Funtumia africana (Benth.) Stapf,6.103194,-0.601258
70,Funtumia africana (Benth.) Stapf,6.107974,-0.623231
71,Funtumia africana (Benth.) Stapf,6.077932,-0.615678
72,Funtumia africana (Benth.) Stapf,6.051986,-0.617737
73,Funtumia africana (Benth.) Stapf,6.003786,-0.67243
74,Funtumia africana (Benth.) Stapf,6.003786,-0.641531
75,Funtumia africana (Benth.) Stapf,6.003786,-0.656638
76,Funtumia africana (Benth.) Stapf,5.982616,-0.660071
77,Funtumia africana (Benth.) Stapf,5.979885,-0.67655
78,Funtumia africana (Benth.) Stapf,6.164163,-0.696585
79,Funtumia africana (Benth.) Stapf,6.171995,-0.714438
80,Funtumia africana (Benth.) Stapf,5.947806,-0.678732
81,Funtumia africana (Benth.) Stapf,5.934829,-0.668433
82,Funtumia africana (Benth.) Stapf,5.930732,-0.66706
83,Funtumia africana (Benth.) Stapf,6.077249,-0.619111
84,Funtumia africana (Benth.) Stapf,6.051986,-0.620484
85,Funtumia africana (Benth.) Stapf,6.032466,-0.651831
86,Funtumia africana (Benth.) Stapf,6.003786,-0.664877
87,Funtumia africana (Benth.) Stapf,6.003103,-0.658697
88,Funtumia africana (Benth.) Stapf,6.003103,-0.660757
89,Funtumia africana (Benth.) Stapf,5.999006,-0.666251
90,Funtumia africana (Benth.) Stapf,5.981933,-0.662131
91,Funtumia africana (Benth.) Stapf,5.979885,-0.675864
92,Funtumia africana (Benth.) Stapf,6.164274,-0.699332
93,Funtumia africana (Benth.) Stapf,6.172582,-0.710318
94,Funtumia africana (Benth.) Stapf,5.947806,-0.685599
95,Funtumia africana (Benth.) Stapf,5.947806,-0.684226
96,Funtumia africana (Benth.) Stapf,5.947806,-0.682852
97,Funtumia africana (Benth.) Stapf,5.947806,-0.680792
98,Funtumia africana (Benth.) Stapf,5.947123,-0.677359
99,Funtumia africana (Benth.) Stapf,5.934829,-0.672553
