"","species","lat","long"
"1","Holarrhena floribunda (G.Don) T.Durand & Schinz",7.699979,-8.399719
"2","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.896703,-3.621893
"3","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.879614,2.322579
"4","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.880524,2.312713
"5","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.880703,2.323667
"6","Holarrhena floribunda (G.Don) T.Durand & Schinz",7.029237,2.155884
"7","Holarrhena floribunda (G.Don) T.Durand & Schinz",7.032305,2.158951
"8","Holarrhena floribunda (G.Don) T.Durand & Schinz",7.033393,2.16004
"9","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.881613,2.313802
"10","Holarrhena floribunda (G.Don) T.Durand & Schinz",7.035372,2.162019
"11","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.882682,2.325646
"12","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.88468,2.316869
"13","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.885769,2.317958
"14","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.887748,2.319937
"15","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.875458,2.318423
"16","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.876547,2.319511
"17","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.857299,2.323583
"18","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.86349,2.31052
"19","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.886502,2.315105
"20","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.91883,2.18932
"21","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.925833,2.104952
"22","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.93333,2.1525
"23","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.94469,2.104422
"24","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.943685,2.113374
"25","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.951062,2.12027
"26","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.943266,2.122541
"27","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.938676,2.137178
"28","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.943115,2.122246
"29","Holarrhena floribunda (G.Don) T.Durand & Schinz",7.019237,2.135884
"31","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.945651,2.156213
"32","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.948856,2.157078
"33","Holarrhena floribunda (G.Don) T.Durand & Schinz",6.947551,2.166213
