,species,lat,long
1,Petersianthus macrocarpus (P.Beauv.) Liben,-2.000843,12.941401
4,Petersianthus macrocarpus (P.Beauv.) Liben,-0.91025,12.88142
7,Petersianthus macrocarpus (P.Beauv.) Liben,0.436307,10.820305
9,Petersianthus macrocarpus (P.Beauv.) Liben,-1.657966,12.589895
10,Petersianthus macrocarpus (P.Beauv.) Liben,-1.786573,12.579305
11,Petersianthus macrocarpus (P.Beauv.) Liben,-1.791505,12.577556
12,Petersianthus macrocarpus (P.Beauv.) Liben,-1.790426,12.587443
17,Petersianthus macrocarpus (P.Beauv.) Liben,4.17443,11.002555
23,Petersianthus macrocarpus (P.Beauv.) Liben,0.532165,12.81791
25,Petersianthus macrocarpus (P.Beauv.) Liben,0.52719,12.808983
27,Petersianthus macrocarpus (P.Beauv.) Liben,0.517607,12.799828
29,Petersianthus macrocarpus (P.Beauv.) Liben,0.535798,12.818528
31,Petersianthus macrocarpus (P.Beauv.) Liben,0.510665,12.798312
33,Petersianthus macrocarpus (P.Beauv.) Liben,0.504925,12.799217
35,Petersianthus macrocarpus (P.Beauv.) Liben,0.506792,12.791802
37,Petersianthus macrocarpus (P.Beauv.) Liben,0.500942,12.800597
39,Petersianthus macrocarpus (P.Beauv.) Liben,0.505455,12.793833
41,Petersianthus macrocarpus (P.Beauv.) Liben,0.432948,12.296487
43,Petersianthus macrocarpus (P.Beauv.) Liben,0.417585,12.279717
45,Petersianthus macrocarpus (P.Beauv.) Liben,0.441288,12.313438
47,Petersianthus macrocarpus (P.Beauv.) Liben,0.42217,12.300215
49,Petersianthus macrocarpus (P.Beauv.) Liben,0.437345,12.339235
51,Petersianthus macrocarpus (P.Beauv.) Liben,0.406565,12.299778
53,Petersianthus macrocarpus (P.Beauv.) Liben,0.391563,12.302373
55,Petersianthus macrocarpus (P.Beauv.) Liben,0.426097,12.297318
57,Petersianthus macrocarpus (P.Beauv.) Liben,4.158936,21.873041
60,Petersianthus macrocarpus (P.Beauv.) Liben,-1.05239,12.54485
62,Petersianthus macrocarpus (P.Beauv.) Liben,-1.84261,12.71915
64,Petersianthus macrocarpus (P.Beauv.) Liben,-2.00185,12.94413
66,Petersianthus macrocarpus (P.Beauv.) Liben,-1.81966,12.95024
68,Petersianthus macrocarpus (P.Beauv.) Liben,-1.71295,13.12473
70,Petersianthus macrocarpus (P.Beauv.) Liben,-1.60415,13.10705
72,Petersianthus macrocarpus (P.Beauv.) Liben,6.111387,-0.609498
73,Petersianthus macrocarpus (P.Beauv.) Liben,5.229636,-4.872424
74,Petersianthus macrocarpus (P.Beauv.) Liben,6.264628,-0.558999
75,Petersianthus macrocarpus (P.Beauv.) Liben,6.319025,-0.546052
76,Petersianthus macrocarpus (P.Beauv.) Liben,6.265172,-0.559256
77,Petersianthus macrocarpus (P.Beauv.) Liben,6.265343,-0.558977
78,Petersianthus macrocarpus (P.Beauv.) Liben,6.685262,-2.867057
79,Petersianthus macrocarpus (P.Beauv.) Liben,6.705522,-2.856869
80,Petersianthus macrocarpus (P.Beauv.) Liben,6.111387,-0.615678
81,Petersianthus macrocarpus (P.Beauv.) Liben,6.111387,-0.612931
82,Petersianthus macrocarpus (P.Beauv.) Liben,6.111387,-0.610871
83,Petersianthus macrocarpus (P.Beauv.) Liben,-0.12514,9.87146
85,Petersianthus macrocarpus (P.Beauv.) Liben,3.683789,12.155016
87,Petersianthus macrocarpus (P.Beauv.) Liben,3.726874,12.17322
89,Petersianthus macrocarpus (P.Beauv.) Liben,-1.97982,14.12321
92,Combretodendron africanum (Welw. ex Benth. & Hook.f.) Exell,7.60589,-10.64862
93,Combretodendron africanum (Welw. ex Benth. & Hook.f.) Exell,7.60944,-10.65368
