,species,lat,long
1,Pycnanthus angolensis (Welw.) Warb.,-1.541621,14.20267
4,Pycnanthus angolensis (Welw.) Warb.,-1.476382,14.183511
7,Pycnanthus angolensis (Welw.) Warb.,-1.476891,14.183708
10,Pycnanthus angolensis (Welw.) Warb.,-2.000417,12.936245
13,Pycnanthus angolensis (Welw.) Warb.,-1.66778,13.11611
16,Pycnanthus angolensis (Welw.) Warb.,-1.45398,13.205651
19,Pycnanthus angolensis (Welw.) Warb.,-1.571812,10.80745
22,Pycnanthus angolensis (Welw.) Warb.,-2.046884,11.103412
25,Pycnanthus angolensis (Welw.) Warb.,-1.670197,10.930581
28,Pycnanthus angolensis (Welw.) Warb.,-1.600618,10.46976
31,Pycnanthus angolensis (Welw.) Warb.,-1.56226,10.547372
34,Pycnanthus angolensis (Welw.) Warb.,-1.57312,10.891859
37,Pycnanthus angolensis (Welw.) Warb.,-1.586131,10.634692
40,Pycnanthus angolensis (Welw.) Warb.,-0.538196,10.41514
43,Pycnanthus angolensis (Welw.) Warb.,0.43042,10.575893
45,Pycnanthus angolensis (Welw.) Warb.,0.360592,10.548823
47,Pycnanthus angolensis (Welw.) Warb.,0.360997,10.582412
49,Pycnanthus angolensis (Welw.) Warb.,0.320502,10.376067
51,Pycnanthus angolensis (Welw.) Warb.,0.387017,10.40607
53,Pycnanthus angolensis (Welw.) Warb.,0.633705,10.960013
55,Pycnanthus angolensis (Welw.) Warb.,0.645497,10.963922
57,Pycnanthus angolensis (Welw.) Warb.,0.438662,10.873102
59,Pycnanthus angolensis (Welw.) Warb.,0.475758,10.815013
61,Pycnanthus angolensis (Welw.) Warb.,7.70078,-8.4114
62,Pycnanthus angolensis (Welw.) Warb.,7.69647,-8.39832
63,Pycnanthus angolensis (Welw.) Warb.,7.70276,-8.39573
67,Pycnanthus angolensis (Welw.) Warb.,4.168813,11.04982
69,Pycnanthus angolensis (Welw.) Warb.,4.209244,11.099802
71,Pycnanthus angolensis (Welw.) Warb.,-1.791505,12.577556
72,Pycnanthus angolensis (Welw.) Warb.,-1.650736,12.583473
75,Pycnanthus angolensis (Welw.) Warb.,0.532165,12.81791
77,Pycnanthus angolensis (Welw.) Warb.,0.53879,12.825827
79,Pycnanthus angolensis (Welw.) Warb.,0.526002,12.807227
81,Pycnanthus angolensis (Welw.) Warb.,0.517607,12.799828
83,Pycnanthus angolensis (Welw.) Warb.,0.535633,12.819523
85,Pycnanthus angolensis (Welw.) Warb.,0.510182,12.798703
87,Pycnanthus angolensis (Welw.) Warb.,0.504925,12.799217
89,Pycnanthus angolensis (Welw.) Warb.,0.506792,12.791802
91,Pycnanthus angolensis (Welw.) Exell,0.325535,6.63372
92,Pycnanthus angolensis (Welw.) Warb.,0.432948,12.296487
94,Pycnanthus angolensis (Welw.) Warb.,0.417585,12.279717
96,Pycnanthus angolensis (Welw.) Warb.,0.441288,12.313438
98,Pycnanthus angolensis (Welw.) Warb.,0.42217,12.300215
100,Pycnanthus angolensis (Welw.) Warb.,0.438363,12.339177
102,Pycnanthus angolensis (Welw.) Warb.,0.406565,12.299778
104,Pycnanthus angolensis (Welw.) Warb.,0.391563,12.302373
106,Pycnanthus angolensis (Welw.) Warb.,0.426743,12.295987
108,Pycnanthus angolensis (Welw.) Warb.,-0.91025,12.88142
110,Pycnanthus angolensis (Welw.) Warb.,-1.05239,12.54485
112,Pycnanthus angolensis (Welw.) Warb.,-1.84261,12.71915
114,Pycnanthus angolensis (Welw.) Warb.,-2.00181,12.94475
116,Pycnanthus angolensis (Welw.) Warb.,-1.81986,12.9491
118,Pycnanthus angolensis (Welw.) Warb.,-1.71259,13.12466
120,Pycnanthus angolensis (Welw.) Warb.,-1.60402,13.10659
122,Pycnanthus angolensis (Welw.) Warb.,-1.62686,13.54056
123,Pycnanthus angolensis (Welw.) Warb.,6.065759,-0.65816
124,Pycnanthus angolensis (Welw.) Warb.,6.255113,-0.560249
125,Pycnanthus angolensis (Welw.) Exell,6.943685,2.113576
