"","species","lat","long"
"1","Ricinodendron heudelotii (Baill.) Heckel",7.51896,4.526494
"2","Ricinodendron heudelotii (Baill.) Heckel",-2.007325,11.027783
"5","Ricinodendron heudelotii (Baill.) Heckel",-2.046884,11.103412
"8","Ricinodendron heudelotii (Baill.) Heckel",0.535633,12.819523
"10","Ricinodendron heudelotii (Baill.) Heckel",0.441288,12.313438
"12","Ricinodendron heudelotii (Baill.) Heckel",-1.81966,12.95024
"14","Ricinodendron heudelotii (Baill.) Heckel",7.691275,-5.037923
"15","Ricinodendron heudelotii (Baill.) Heckel",6.62857,-11.13875
"16","Ricinodendron heudelotii (Baill.) Heckel",6.63187,-11.14761
"19","Ricinodendron heudelotii (Baill.) Heckel",8.04216,-9.52663
"21","Ricinodendron heudelotii (Baill.) Heckel",7.112488,-7.659765
"22","Ricinodendron heudelotii (Baill.) Heckel",-0.25892,10.40954
"24","Ricinodendron heudelotii (Baill.) Heckel",6.92329,2.48459
"25","Ricinodendron heudelotii (Baill.) Heckel",6.92256,2.48417
"26","Ricinodendron heudelotii (Baill.) Heckel",6.92364,2.48373
"27","Ricinodendron heudelotii (Baill.) Heckel",6.92406,2.48438
"28","Ricinodendron heudelotii (Baill.) Heckel",6.924657,2.4831
"29","Ricinodendron heudelotii (Baill.) Heckel",6.923969,2.48254
"30","Ricinodendron heudelotii (Baill.) Heckel",6.925707,2.483542
"31","Ricinodendron heudelotii (Baill.) Heckel",6.926204,2.483488
"32","Ricinodendron heudelotii (Baill.) Heckel",6.927308,2.484029
"33","Ricinodendron heudelotii (Baill.) Heckel",6.928323,2.485875
"34","Ricinodendron heudelotii (Baill.) Heckel",6.928957,2.486291
"35","Ricinodendron heudelotii (Baill.) Heckel",6.927438,2.487098
"36","Ricinodendron heudelotii (Baill.) Heckel",6.927376,2.487967
"37","Ricinodendron heudelotii (Baill.) Heckel",6.927584,2.488256
"38","Ricinodendron heudelotii (Baill.) Heckel",6.857235,2.462528
"39","Ricinodendron heudelotii (Baill.) Heckel",6.857923,2.462971
"40","Ricinodendron heudelotii (Baill.) Heckel",6.858538,2.462898
"41","Ricinodendron heudelotii (Baill.) Heckel",6.858365,2.46212
"42","Ricinodendron heudelotii (Baill.) Heckel",6.858971,2.461567
"43","Ricinodendron heudelotii (Baill.) Heckel",6.857903,2.461143
"44","Ricinodendron heudelotii (Baill.) Heckel",5.440477,8.374572
"45","Ricinodendron heudelotii (Baill.) Heckel",7.4,-7.166667
"46","Ricinodendron heudelotii (Baill.) Heckel",6.40248,-4.56431
"47","Ricinodendron heudelotii (Baill.) Heckel",9.31523,1.74152
"48","Ricinodendron heudelotii (Baill.) Heckel",9.31479,1.74158
"49","Ricinodendron heudelotii (Baill.) Heckel",9.35521,1.87397
"50","Ricinodendron heudelotii (Baill.) Heckel",9.31489,1.74119
"51","Ricinodendron heudelotii (Baill.) Heckel",9.32433,1.7413
"52","Ricinodendron heudelotii (Baill.) Heckel",9.34207,1.74132
"53","Ricinodendron heudelotii (Baill.) Heckel",9.31492,1.74154
